"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40"
"Mononucl_epi",0,1.70200128291225,0,1.50917779932362,0.918952983076958,0,0.878498304665905,0,0,0.633106550297595,0.992118419507094,0,0,1.84201609081607,1.61485742017188,0,1.6477645129602,1.10454448756529,0,1.64848368489694,0.70350585307797,1.07876679469512,0,1.39416023429113,0.889982876212044,0.855649520278583,0.922452604227531,0,0,0,0,0,0.805317355223631,0.99250291031039,0,0,0,1.54270137472966,0,1.30406583584124
"CD45_Epi",-2.35230389957582,-2.33785509402578,-2.62727620544251,-2.63540797933523,-2.40806500041095,-2.42038114370705,-2.69705246414103,-2.48395609354245,-2.25525441289802,-2.37065789495366,-2.2833277568495,-2.17965292103866,-2.26282783798208,-2.29003033859005,-2.56831835575683,-2.24786345343114,-2.12667282951538,-3.13598258483489,-2.61036073286792,-2.34964201958462,-2.4665798076208,-2.03349929511482,-2.64640747507673,-2.15495727744765,-2.16126210727221,-2.44932900364303,-2.14370213362301,-2.28473951903986,-2.26454390633182,-2.07945615194163,-1.96206834201709,-2.02510321260301,-2.60290464137549,-2.19197148784048,-2.12452344977487,-1.86556121682488,-2.24375304123044,-2.39463943868278,-2.13591309096731,-1.8240556257585
"pACC_liver",-0.806502659428151,-1.74943731518665,-1.83223471720122,-1.66927611104567,-1.714917819851,-1.29779688900263,-1.76236064689598,-1.16296683083032,-1.63826859330363,-1.6937712352655,-1.36809578632359,-2.0090274040079,-1.69650311694392,-1.63014037978658,-1.72477460583212,-1.50143490625826,-1.47921604720375,-1.37120422443794,-1.49921470805256,-1.81885349926976,-0.691223986863022,-0.581438234792631,-0.625876581783644,-0.696949112256389,-0.579258405728773,-0.547180809481408,-0.453099660360458,-0.631706259313435,-0.414011324796075,-0.380314968795545,-0.392701203334225,-0.109693564054577,-0.194354985589575,-0.110418649945819,-0.315339768721192,-0.425841689031412,-0.156510679914374,-0.470577964696507,-0.128574843188816,-0.0675369765356608
"pHSL_epi",-0.212680116091192,-0.250631411903892,-0.183876617536464,-0.591283109580296,-0.381897896225465,-0.088790430820608,0.335837957379896,-0.877588022352635,-0.519242588406891,-0.980339383534044,-0.427112441859061,-0.0320292663279039,0.156026638402872,0.415524539944762,-0.480713503437838,-0.0843688864716129,0.311021930669557,-0.140944996963577,0.0817065635274581,-0.0987805444445683,-0.866711346202849,0.106963352890709,0.0510043278204263,-0.637634653921354,0.159756687410678,-0.0521771331834431,0.459782022348587,-0.535764965572101,-0.148629436266273,-0.0726342914863882,0.329838700490253,0.219278390687977,-0.00683861191851665,-0.135126327428213,0.360853899009813,0.024828855844799,-0.265663993810896,0.0194411585366121,-0.0354974004770381,0.913538600097283
"pAKT_epi",-0.174055223698611,-0.754317910023839,-0.967895390959168,-0.906575991776069,-0.494918145813167,-0.957213649674899,-0.759339082289894,-0.296141337562849,-0.542538151010413,-1.57963783869666,-1.17157467462033,-0.643445174567028,0.347588368419789,-0.334817796872419,-0.00614712863368416,-0.494131379792324,-0.137217971988832,-0.013556477686679,-0.511514099178398,-0.166135078477202,-0.772275674543456,-0.400520433273932,-0.438074920328872,-1.05808563325732,-0.407568275073458,-0.179987969228139,-0.019155935630914,-0.504269791956409,-0.620340036054505,-0.428959370994017,-0.407833900683097,-0.108318048019268,-0.0628977534189611,-0.133583355358475,-0.21784477529744,-0.335498406855424,-1.00171867538212,0.0106873592603632,0.142022866752083,-0.132680068774749
"IL1b_epi",-0.628597893592785,-1.30378132649524,-1.08732560208269,-0.961825945295394,-1.42653961092836,-1.1020065410966,-0.860478979123181,-0.970978447295909,-1.12686759552867,-1.66548652142691,-0.726018909850347,-1.0162378755332,-0.966882163266335,-0.727795066062378,-0.912122006038026,-0.882940113072812,-0.760736805625395,-0.791909052777428,-0.405358670919095,-1.08951039257835,-1.60007974024966,-0.806424619325485,-1.63528767959709,-1.32697520635974,-1.12142625507596,-1.55007633163498,-1.29855250177409,-1.23207170642241,-1.28873904692526,-0.901326964042557,-1.0854312827411,-0.860201599898975,-1.42308833959616,-0.963659615209275,-1.14581508833229,-1.50888627288615,-1.38549991893063,-1.28582297984042,-1.08402787870717,-0.672819117513504
"pACC_SCfat",-1.42554186783437,-1.88251815587745,-1.71862705295532,-2.24157705850841,-1.11742906914243,-3.04622464237089,-1.76236064689598,-1.89574380616104,-2.58375847987005,-1.53932785823141,-1.74433125611681,-2.1525396856301,-2.4620452560485,-2.11867208659336,-2.57160243095802,-2.14624125988392,-2.19193783088832,-1.73247609483388,-2.73696635713948,-2.19121865895158,-2.53302490702895,-2.1577639654118,-1.55487486199668,-2.0369810237441,-0.348236366842483,-2.1183212614939,-1.38615056109208,-0.180036841966055,-0.256899873005785,-2.11422210978484,-1.29223696677076,-0.661852707197982,-1.05450684491855,-0.978622487885987,-1.53235218655493,0.315663019164895,0.255903726486997,-2.09929449348543,-0.738807813743202,-0.111451383955554
"CS_epi",-0.503908291549724,-0.325227387320653,-0.411387974574673,-0.393289791888861,-0.499864569748493,-0.0276776910507235,-0.275415299787294,-0.178310554395295,-0.300998236641325,-0.542602788755482,-0.230018355446513,-0.273483100632862,-0.379812087431068,-0.23742545086377,-0.47019986029359,-0.221418672448703,0.248182257513373,0.0443833852714359,0.211339852112507,0.130484832779617,-0.187117132047607,-0.479502831164578,-0.1261966715935,-0.402812801989814,-0.077864342576513,0.261261111741901,0.820641338080846,0.309664156957743,0.415281507994792,0.220163272174097,-0.116030725552992,0.127799396438631,0.188390200575094,-0.105609503316069,-0.381648311108336,0.13105718742234,0.289369884619415,0.0782292325457454,0.453157706942272,0.393757175644632
"ALT_gastro",-0.459894238990127,-0.652930290454007,-0.369630568631525,-0.547719777921326,-0.607983707845399,0.068473399088538,-0.736957680093759,-0.0773907473595337,-0.581778104368026,-0.501340191379731,-0.0896367520945927,-0.498041857781195,-0.304282812556487,-0.336141423802928,-0.774920884524541,-0.320243217126744,-0.581570118294254,0.0555791387865971,-0.185318858517613,-0.468036865024321,-0.346030597943547,0.0576709484548417,-0.866178067064211,-1.06449404435281,-0.529661464589401,-0.540291217893114,-0.154300350087685,-0.535314413638369,-1.10419773339299,-0.442163788199263,-0.421050891208863,0.138864142976728,-0.188934918120236,-0.187427899535308,-0.501245780252195,-0.224570618316706,-0.546260119873191,-0.711569857985835,-0.408112600698911,0.101425476749083
"Glycogen_liver",2.52157245740504,2.25588639613869,1.75388500295494,1.82398853916365,2.05998598762902,1.87146453921593,1.61566237064262,2.2091828653916,1.94445066498191,1.39391237933136,1.55743222855715,1.79981136518502,1.9022532753318,2.36674461975105,1.37913508665081,2.08116642054534,1.20925955077383,2.25511651516411,1.71609605065115,1.60243974639553,1.6277647546013,1.69395243378536,1.58838892261447,1.97916525623137,1.79824143638893,1.47622600800369,2.69230723806754,2.15455346838065,2.68782247964046,2.42010038587241,1.95594868735127,2.10444008658498,1.71760006570025,1.91676181183372,2.11396765314021,2.21592519045385,2.00989242679523,1.97772528507937,2.63144988438412,2.55682880433661
