"","PC1","PC2","PC3"
"C1",-0.0473988033894836,-0.454122297152368,-0.26170156485512
"C2",-0.0450082750337009,0.0123119659871424,0.0013978841550214
"C3",-0.013247548143065,0.046386804409255,-0.0487234147629504
"C4",-0.0178136889646182,0.252440973159941,-0.471760718427672
"C5",-0.0339445832324298,0.00536002286745052,-0.00121914636786541
"C6",-0.186014898895713,0.0535885051910691,0.024724729343014
"C7",-0.0896687947743652,0.0448485928961301,0.00777116619115499
"C8",-0.216374660018375,0.112934809422597,0.178073314499018
"C9",-0.0636401914305077,0.0413856463232534,0.014002665045336
"C10",-0.111994093140543,0.134892539292561,-0.0560326052982774
"C11",-0.205962240077455,-0.185236225128958,-0.0301524291472703
"C12",-0.161073219015944,0.00150929573543936,-0.0293932227561001
"C13",-0.201647121349952,0.0103339864023679,0.131136505249326
"C14",-0.189305231080499,0.0670471766228741,0.0774353001913069
"C15",0.0174651303427716,0.322413689049155,-0.418137484192998
"C16",-0.19147451419376,-0.0691750069435238,-0.0700248884230379
"C17",-0.191215919039301,0.00433139964775188,0.18320985137687
"C18",-0.239729950788378,-0.0984293482716754,0.0501438805317182
"C19",-0.124818371080509,0.292962306388115,0.11455046277359
"C20",-0.217983934431259,0.120467074083975,0.0913072453545781
"C21",-0.0817967135159533,0.252920367546198,-0.112480941610766
"C22",-0.00886604213343034,-0.0315519423820559,-0.00425760691412198
"C23",0.216225945723062,0.149419912947366,0.122188955481293
"C24",0.0575657569978235,-0.00566275754012063,0.0174904010765437
"C25",0.11947467641755,0.0233460968372733,0.261602907631248
"C26",0.0446747512049088,-0.0675981053624362,0.025873173359665
"C27",0.102207495321753,-0.179105879533428,0.259862341177111
"C28",0.148078569029172,0.0432729992045774,0.252373451094045
"C29",0.253380308378473,-0.010343751932,-0.0927418807532546
"C30",0.175869851694579,-0.0976082747721981,0.0835027795558531
"C31",0.0839085420683796,-0.0807275097595001,-0.0402662218132212
"C32",0.0771466836840255,-0.00403274732214566,-0.0149458390699478
"C33",0.27841261324381,0.00819819100252204,-0.261041766414687
"C34",0.292750908696711,0.0251249710312275,0.0872591097138355
"C35",0.235396311312083,0.0220898471351825,0.110315105251276
"C36",-0.0284619515282747,-0.357903075756767,-0.04410183800993
"C37",0.0749882428607824,-0.0414474798764914,0.0026107172871609
"C38",0.275446185502661,0.0646508483301073,0.166818131793489
"C39",0.255455774831805,-0.0197424303357258,-0.121016772010117
"C40",-0.0410070020528508,-0.409551189444027,-0.185651737304925
